timestamp,v_enc,v_ave,v_comp,v_acc,v_setp,yawrate,yawrate_traj,yawrate_setp,yaw,yaw_traj,yaw_setp,beta,beta_setp,beta_dot,beta_dot_setp,x_cor,y_cor,x_cor_setp,y_cor_setp,a_x,a_y,a_setp,d_la,d_l,d_r,d_ra,wall_la,wall_l,wall_r,wall_ra,v_p,v_i,v_d,duty_v,yawrate_p,yawrate_i,yawrate_d,duty_yaw,yaw_p,yaw_i,wall_p,wall_i,wall_d,diag_p,voltage,turn_type,on_wall_center_time,not_corner_l_elapsed_time,not_corner_r_elapsed_time,in_detect_edge_area,detected_edge,three_section_ahead_dist
0.000000, 0.000000, -0.000076, 0.001025, 0.000000, 0.000000, 0.148683, 0.000000, 0.000000, 0.016140,90.000000, 90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.499996, 0.500000, 0.500000,-0.038285, 0.230907, 0.000000, 0.085693, 0.045592, 0.099597, 0.260768, 269.000000, 405.000000, 47.000000,14.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.608791, 20.000000, 5.921753, 20.006634, 20.006634,0.000000, 0.000000, 0.225000
0.002000, 0.000380, 0.000038, 0.000253, 0.000380, 0.002000, 0.008151, 0.000000, -0.002732, -0.000273,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382111,-0.021535, 0.209372, 1.000000, 0.085562, 0.045592, 0.098859, 0.253625, 270.000000, 405.000000, 48.000000,15.000000, 0.000785, 0.000009, 0.000096, 0.000889, -0.000009, -0.000001, -0.000000, -0.000009, -0.000137,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.607326, 2.000000, 5.923753, 20.008633, 20.008633,0.000000, 0.000000, 0.235610
0.004000, -0.000380, 0.000000, 0.000421, -0.000380, 0.004000, 0.008151, 0.000000, -0.002732, -0.000273,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382115, 0.500000, 0.382144,-0.004786, 0.202194, 1.000000, 0.085562, 0.045592, 0.098859, 0.260768, 270.000000, 405.000000, 48.000000,14.000000, 0.001600, 0.000030, 0.000186, 0.001815, -0.000009, -0.000001, -0.000000, -0.000009, -0.000137,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.607326, 2.000000, 5.925753, 20.010632, 20.010632,0.000000, 0.000000, 0.235610
0.006000, -0.000380, -0.000038, 0.000586, -0.000380, 0.006000, 0.008151, 0.000000, -0.001366, -0.000137,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382222,-0.010768, 0.203390, 1.000000, 0.085562, 0.045592, 0.098141, 0.260768, 270.000000, 405.000000, 49.000000,14.000000, 0.002415, 0.000063, 0.000267, 0.002745, -0.000007, -0.000000, -0.000001, -0.000008, -0.000068,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.607326, 2.000000, 5.927753, 20.012630, 20.012630,0.000000, 0.000000, 0.235610
0.008000, 0.000000, 0.000000, 0.000841, 0.000000, 0.008000, 0.008151, 0.000000, -0.002732, -0.000273,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382344,-0.002393, 0.220140, 1.000000, 0.085562, 0.045592, 0.099597, 0.253625, 270.000000, 405.000000, 47.000000,15.000000, 0.003200, 0.000108, 0.000337, 0.003645, -0.000009, -0.000001, -0.000000, -0.000009, -0.000137,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.605861, 2.000000, 5.929753, 20.014629, 20.014629,0.000000, 0.000000, 0.235610
0.010000, 0.000380, 0.000038, 0.001094, 0.000380, 0.010000, -0.132381, 0.000000, -0.001366, -0.000137,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382511,0.009571, 0.205783, 1.000000, 0.085693, 0.045547, 0.098859, 0.253625, 269.000000, 406.000000, 48.000000,15.000000, 0.003985, 0.000165, 0.000399, 0.018292, 0.000103, 0.000000, 0.000012, 0.000115, -0.000068,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.605861, 2.000000, 5.931753, 20.016628, 20.016628,0.000000, 0.000000, 0.235610
0.012000, 0.000761, 0.000038, 0.000996, 0.000761, 0.012000, 0.008151, 0.000000, 0.000000, 0.000000,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382722,-0.028714, 0.112463, 1.000000, 0.085562, 0.045637, 0.099597, 0.253625, 270.000000, 404.000000, 47.000000,15.000000, 0.004785, 0.000234, 0.000458, 0.019348, -0.000006, 0.000000, -0.000001, -0.000007, 0.000000,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.600000, 2.000000, 5.933753, 20.018627, 20.018627,0.000000, 0.000000, 0.235610
0.014000, 0.001522, 0.000304, 0.001921, 0.001522, 0.014000, 0.289215, 0.000000, 0.000000, 0.000000,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382128, 0.500000, 0.382978,0.122034, 1.306481, 1.000000, 0.085562, 0.045547, 0.099597, 0.253625, 270.000000, 406.000000, 47.000000,15.000000, 0.005478, 0.000313, 0.000498, 0.020289, -0.000227, -0.000001, -0.000025, -0.000254, 0.000000,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.600000, 2.000000, 5.935752, 20.020626, 20.020626,0.000000, 0.000000, 0.235608
0.016000, 0.000380, 0.000456, 0.002924, 0.000380, 0.016000, 6.332090, 0.000000, -0.030872, -0.003087,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382153, 0.500000, 0.383278,0.133998, 0.832702, 1.000000, 0.085562, 0.045637, 0.099597, 0.260768, 270.000000, 404.000000, 47.000000,14.000000, 0.006217, 0.000404, 0.000539, 0.021289, -0.004997, -0.000033, -0.000542, -0.005572, -0.001544,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.598535, 2.000000, 5.937752, 20.022625, 20.022625,0.000000, 0.000000, 0.235606
0.018000, 0.001522, 0.000723, 0.003604, 0.001522, 0.018000, 9.845391, 0.000000, -0.182776, -0.018278,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382174, 0.500000, 0.383622,-0.011964, 0.671187, 1.000000, 0.085433, 0.045637, 0.098141, 0.253625, 271.000000, 404.000000, 49.000000,15.000000, 0.006911, 0.000505, 0.000571, 0.022244, -0.007876, -0.000099, -0.000798, -0.008773, -0.009139,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.598535, 2.000000, 5.939752, 20.024624, 20.024624,0.000000, 0.000000, 0.235604
0.020000, 0.002282, 0.001103, 0.004537, 0.002282, 0.020000, 9.423794, 0.000000, -0.382491, -0.038249,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382212, 0.500000, 0.384011,-0.068195, 0.760918, 1.000000, 0.085433, 0.045637, 0.099597, 0.253625, 271.000000, 404.000000, 47.000000,15.000000, 0.007559, 0.000616, 0.000594, 0.023155, -0.007702, -0.000170, -0.000699, -0.008571, -0.019125,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.597070, 2.000000, 5.941752, 20.026623, 20.026623,0.000000, 0.000000, 0.235601
0.022000, 0.003423, 0.001712, 0.005900, 0.003423, 0.022000, 5.488899, 0.000000, -0.551333, -0.055133,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382272, 0.500000, 0.384444,-0.040678, 0.892523, 1.000000, 0.085303, 0.045592, 0.100357, 0.253625, 272.000000, 405.000000, 46.000000,15.000000, 0.008115, 0.000735, 0.000604, 0.023970, -0.004744, -0.000219, -0.000310, -0.005273, -0.027567,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.597070, 2.000000, 5.943752, 20.028622, 20.028622,0.000000, 0.000000, 0.235596
0.024000, 0.004184, 0.002282, 0.006379, 0.004184, 0.024000, 3.380919, 0.000000, -0.646955, -0.064696,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382352, 0.500000, 0.384922,-0.050249, 0.800399, 1.000000, 0.085303, 0.045637, 0.098859, 0.260768, 272.000000, 404.000000, 48.000000,14.000000, 0.008687, 0.000864, 0.000615, 0.024809, -0.003163, -0.000249, -0.000110, -0.003523, -0.032348,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.595604, 2.000000, 5.945752, 20.030621, 20.030621,0.000000, 0.000000, 0.235588
0.026000, 0.006086, 0.003271, 0.007221, 0.006086, 0.026000, 3.240387, 0.000000, -0.711979, -0.071198,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382453, 0.500000, 0.385444,-0.016750, 0.917647, 1.000000, 0.085433, 0.045547, 0.099597, 0.260768, 271.000000, 406.000000, 47.000000,14.000000, 0.009091, 0.000999, 0.000604, 0.025466, -0.003104, -0.000276, -0.000094, -0.003474, -0.035599,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.595604, 2.000000, 5.947752, 20.032619, 20.032619,0.000000, 0.000000, 0.235579
0.028000, 0.007608, 0.004374, 0.008601, 0.007608, 0.028000, 3.943047, 0.000000, -0.779461, -0.077946,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382593, 0.500000, 0.386011,-0.031107, 0.918844, 1.000000, 0.085175, 0.045592, 0.099597, 0.253625, 273.000000, 405.000000, 47.000000,15.000000, 0.009450, 0.001139, 0.000589, 0.026079, -0.003709, -0.000307, -0.000151, -0.004167, -0.038973,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.949751, 20.034618, 20.034618,0.000000, 0.000000, 0.235567
0.030000, 0.009509, 0.005782, 0.010156, 0.009509, 0.030000, 5.207835, 0.000000, -0.865248, -0.086525,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499999, 0.382775, 0.500000, 0.386622,-0.007178, 0.916451, 1.000000, 0.085047, 0.045502, 0.099597, 0.260768, 274.000000, 407.000000, 47.000000,14.000000, 0.009687, 0.001284, 0.000560, 0.026560, -0.004770, -0.000348, -0.000251, -0.005368, -0.043262,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.951751, 20.036617, 20.036617,0.000000, 0.000000, 0.235550
0.032000, 0.011792, 0.007379, 0.011849, 0.011443, 0.032000, 5.769962, 0.000000, -0.973712, -0.097371,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499999, 0.382999, 0.500000, 0.387278,-0.028714, 0.978664, 1.000000, 0.085175, 0.045502, 0.100357, 0.253625, 273.000000, 407.000000, 46.000000,15.000000, 0.009848, 0.001431, 0.000525, 0.026962, -0.005296, -0.000394, -0.000283, -0.005973, -0.048686,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.953751, 20.038616, 20.038616,0.000000, 0.000000, 0.235530
0.034000, 0.013694, 0.009281, 0.013969, 0.013427, 0.034000, 4.645707, 0.000000, -1.083541, -0.108354,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499999, 0.383278, 0.500000, 0.387978,0.016750, 1.039681, 1.000000, 0.085175, 0.045502, 0.099597, 0.253625, 273.000000, 407.000000, 47.000000,15.000000, 0.009887, 0.001579, 0.000479, 0.027232, -0.004500, -0.000436, -0.000169, -0.005104, -0.054177,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.955751, 20.040615, 20.040615,0.000000, 0.000000, 0.235505
0.036000, 0.015596, 0.011183, 0.016245, 0.015989, 0.036000, 3.802515, 0.000000, -1.172060, -0.117206,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499998, 0.383590, 0.500000, 0.388722,0.009571, 1.576870, 1.000000, 0.085175, 0.045413, 0.100357, 0.253625, 273.000000, 409.000000, 46.000000,15.000000, 0.009927, 0.001728, 0.000437, 0.027506, -0.003907, -0.000472, -0.000088, -0.004467, -0.058603,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.957751, 20.042614, 20.042614,0.000000, 0.000000, 0.235477
0.038000, 0.017117, 0.013085, 0.018687, 0.018883, 0.038000, 3.380919, 0.000000, -1.246646, -0.124665,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499997, 0.383941, 0.500000, 0.389511,0.163908, 0.669990, 1.000000, 0.085047, 0.045458, 0.100357, 0.260768, 274.000000, 408.000000, 46.000000,14.000000, 0.009966, 0.001877, 0.000399, 0.027786, -0.003634, -0.000505, -0.000050, -0.004189, -0.062332,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.959751, 20.044613, 20.044613,0.000000, 0.000000, 0.235445
0.040000, 0.017117, 0.014683, 0.020259, 0.020661, 0.040000, 3.380919, 0.000000, -1.314402, -0.131440,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499996, 0.384321, 0.500000, 0.390344,-0.062213, 0.267996, 1.000000, 0.084920, 0.045369, 0.101140, 0.253625, 275.000000, 410.000000, 45.000000,15.000000, 0.010127, 0.002028, 0.000380, 0.028207, -0.003688, -0.000538, -0.000051, -0.004276, -0.065720,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.594139, 2.000000, 5.961751, 20.046612, 20.046612,0.000000, 0.000000, 0.235411
0.042000, 0.018639, 0.016128, 0.021819, 0.022824, 0.042000, 3.099855, 0.000000, -1.376420, -0.137642,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499996, 0.384715, 0.500000, 0.391222,0.177069, 0.671187, 1.000000, 0.084920, 0.045325, 0.101140, 0.253625, 275.000000, 411.000000, 45.000000,15.000000, 0.010349, 0.002183, 0.000370, 0.028702, -0.003516, -0.000568, -0.000029, -0.004112, -0.068821,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.591209, 2.000000, 5.963750, 20.048611, 20.048611,0.000000, 0.000000, 0.235376
0.044000, 0.020540, 0.017459, 0.023166, 0.024840, 0.044000, 3.943047, 0.000000, -1.439804, -0.143980,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499995, 0.385141, 0.500000, 0.392144,0.117248, 0.983450, 1.000000, 0.084794, 0.045281, 0.101140, 0.260768, 276.000000, 412.000000, 45.000000,14.000000, 0.010616, 0.002341, 0.000366, 0.029253, -0.004228, -0.000603, -0.000104, -0.004935, -0.071990,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.589744, 2.000000, 5.965750, 20.050610, 20.050610,0.000000, 0.000000, 0.235337
0.046000, 0.021682, 0.018753, 0.024242, 0.026969, 0.046000, 5.348367, 0.000000, -1.531055, -0.153106,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499993, 0.385606, 0.500000, 0.393111,-0.300299, 1.037289, 1.000000, 0.084668, 0.045237, 0.101946, 0.253625, 277.000000, 413.000000, 44.000000,15.000000, 0.010899, 0.002503, 0.000365, 0.029825, -0.005403, -0.000650, -0.000219, -0.006273, -0.076553,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.591209, 2.000000, 5.967750, 20.052608, 20.052608,0.000000, 0.000000, 0.235295
0.048000, 0.023584, 0.020046, 0.024853, 0.028498, 0.048000, 4.786239, 0.000000, -1.642251, -0.164225,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499992, 0.386097, 0.500000, 0.394122,-0.128016, 0.593420, 1.000000, 0.084543, 0.045193, 0.101946, 0.260768, 278.000000, 414.000000, 44.000000,14.000000, 0.011182, 0.002670, 0.000364, 0.030402, -0.005049, -0.000698, -0.000156, -0.005904, -0.082113,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.589744, 2.000000, 5.969750, 20.054607, 20.054607,0.000000, 0.000000, 0.235251
0.050000, 0.024725, 0.021606, 0.026659, 0.030769, 0.050000, 0.148683, 0.000000, -1.712465, -0.171246,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499991, 0.386638, 0.500000, 0.395178,-0.064606, 1.095913, 1.000000, 0.084668, 0.045106, 0.101946, 0.260768, 277.000000, 416.000000, 44.000000,14.000000, 0.011358, 0.002840, 0.000350, 0.030863, -0.001462, -0.000719, 0.000247, -0.001934, -0.085623,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.589744, 2.000000, 5.971750, 20.056606, 20.056606,0.000000, 0.000000, 0.235203
0.052000, 0.026246, 0.023089, 0.027946, 0.032538, 0.052000, -0.413445, 0.000000, -1.707001, -0.170700,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499989, 0.387195, 0.500000, 0.396278,0.155533, 0.763310, 1.000000, 0.084794, 0.044977, 0.101140, 0.253625, 276.000000, 419.000000, 45.000000,15.000000, 0.011564, 0.003012, 0.000341, 0.031361, -0.001016, -0.000727, 0.000268, -0.001474, -0.085350,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.589744, 2.000000, 5.973750, 20.058605, 20.058605,0.000000, 0.000000, 0.235152
0.054000, 0.027387, 0.024420, 0.029117, 0.034235, 0.054000, 0.851343, 0.000000, -1.702903, -0.170290,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499987, 0.387779, 0.500000, 0.397422,0.032303, 1.054038, 1.000000, 0.084543, 0.044977, 0.101946, 0.260768, 278.000000, 419.000000, 44.000000,14.000000, 0.011832, 0.003189, 0.000340, 0.031933, -0.002006, -0.000742, 0.000134, -0.002614, -0.085145,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.589744, 2.000000, 5.975749, 20.060604, 20.060604,0.000000, 0.000000, 0.235100
0.056000, 0.028528, 0.025828, 0.030390, 0.036094, 0.056000, 2.537727, 0.000000, -1.732682, -0.173268,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499985, 0.388400, 0.500000, 0.398611,-0.089731, 0.826720, 1.000000, 0.084418, 0.044891, 0.102778, 0.260768, 279.000000, 421.000000, 43.000000,14.000000, 0.012069, 0.003369, 0.000336, 0.032475, -0.003354, -0.000770, -0.000023, -0.004147, -0.086634,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.588279, 2.000000, 5.977749, 20.062603, 20.062603,0.000000, 0.000000, 0.235044
0.058000, 0.030430, 0.027311, 0.032027, 0.037929, 0.058000, 3.661983, 0.000000, -1.787597, -0.178760,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499983, 0.389055, 0.500000, 0.399844,0.011964, 1.013360, 1.000000, 0.084543, 0.044849, 0.101946, 0.253625, 278.000000, 422.000000, 44.000000,15.000000, 0.012275, 0.003552, 0.000329, 0.032986, -0.004280, -0.000805, -0.000122, -0.005207, -0.089380,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.588279, 2.000000, 5.979749, 20.064602, 20.064602,0.000000, 0.000000, 0.234985
0.060000, 0.031571, 0.028681, 0.033332, 0.040072, 0.060000, 3.802515, 0.000000, -1.864915, -0.186491,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499981, 0.389748, 0.500000, 0.401122,-0.086142, 1.097109, 1.000000, 0.084294, 0.044680, 0.103636, 0.253625, 280.000000, 426.000000, 42.000000,15.000000, 0.012528, 0.003739, 0.000327, 0.033552, -0.004451, -0.000846, -0.000127, -0.005424, -0.093246,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.588279, 2.000000, 5.981749, 20.066601, 20.066601,0.000000, 0.000000, 0.234923
0.062000, 0.033854, 0.030088, 0.034841, 0.042043, 0.062000, 4.083579, 0.000000, -1.940866, -0.194087,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499979, 0.390454, 0.500000, 0.402444,0.016750, 1.054038, 1.000000, 0.084294, 0.044680, 0.103636, 0.253625, 280.000000, 426.000000, 42.000000,15.000000, 0.012765, 0.003930, 0.000324, 0.034106, -0.004732, -0.000887, -0.000146, -0.005764, -0.097043,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.588279, 2.000000, 5.983749, 20.068600, 20.068600,0.000000, 0.000000, 0.234859
