timestamp,v_enc,v_ave,v_comp,v_acc,v_setp,yawrate,yawrate_traj,yawrate_setp,yaw,yaw_traj,yaw_setp,beta,beta_setp,beta_dot,beta_dot_setp,x_cor,y_cor,x_cor_setp,y_cor_setp,a_x,a_y,a_setp,d_la,d_l,d_r,d_ra,wall_la,wall_l,wall_r,wall_ra,v_p,v_i,v_d,duty_v,yawrate_p,yawrate_i,yawrate_d,duty_yaw,yaw_p,yaw_i,wall_p,wall_i,wall_d,diag_p,voltage,turn_type,on_wall_center_time,not_corner_l_elapsed_time,not_corner_r_elapsed_time,in_detect_edge_area,detected_edge,three_section_ahead_dist
0.000000, -0.000380, -0.000038, 0.000076, -0.000380, 0.001000, 0.024031, 0.000000, 0.001093, 0.000109,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382115, 0.500000, 0.382111,0.026321, 0.227318, 1.000000, 0.191367, 0.051405, 0.057264, 0.191867, 38.000000, 300.000000, 225.000000,30.000000, 0.000415, 0.000003, 0.000052, 0.000470, -0.000018, -0.000000, -0.000002, -0.000020, 0.000055,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.791942, 2.000000, 0.000000, 20.274487, 20.274487,0.000000, 0.000000, 0.235610
0.002000, -0.000380, -0.000076, 0.000257, -0.000380, 0.003000, -0.116501, 0.000000, 0.001912, 0.000191,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382111, 0.500000, 0.382122,0.014357, 0.217747, 1.000000, 0.193474, 0.051405, 0.057354, 0.191867, 37.000000, 300.000000, 224.000000,30.000000, 0.001230, 0.000018, 0.000146, 0.001395, 0.000093, 0.000001, 0.000010, 0.000104, 0.000096,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.787546, 2.000000, 0.000000, 20.276485, 20.276485,0.000000, 0.000000, 0.235610
0.004000, 0.000000, -0.000114, 0.000440, 0.000000, 0.005000, 0.024031, 0.000000, 0.004098, 0.000410,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382103, 0.500000, 0.382178,0.005982, 0.217747, 1.000000, 0.193474, 0.051474, 0.057354, 0.191867, 37.000000, 299.000000, 224.000000,30.000000, 0.002046, 0.000046, 0.000231, 0.002323, -0.000016, 0.000001, -0.000003, -0.000018, 0.000205,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.787546, 2.000000, 0.000000, 20.278484, 20.278484,0.000000, 0.000000, 0.235611
0.006000, 0.000380, -0.000076, 0.000720, 0.000380, 0.007000, 0.164563, 0.000000, 0.003552, 0.000355,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382103, 0.500000, 0.382278,0.002393, 0.241675, 1.000000, 0.195662, 0.051405, 0.057174, 0.191867, 36.000000, 300.000000, 226.000000,30.000000, 0.002830, 0.000086, 0.000304, 0.003220, -0.000126, 0.000000, -0.000015, -0.000141, 0.000178,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.787546, 2.000000, 0.000000, 20.280483, 20.280483,0.000000, 0.000000, 0.235611
0.008000, -0.000380, -0.000114, 0.000924, -0.000380, 0.009000, 0.024031, 0.000000, 0.000273, 0.000027,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382107, 0.500000, 0.382422,0.000000, 0.239282, 1.000000, 0.195662, 0.051269, 0.057354, 0.191867, 36.000000, 302.000000, 224.000000,30.000000, 0.003646, 0.000137, 0.000374, 0.004157, -0.000019, -0.000000, -0.000002, -0.000021, 0.000014,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.787546, 2.000000, 0.000000, 20.282482, 20.282482,0.000000, 0.000000, 0.235610
0.010000, 0.000380, -0.000076, 0.001059, 0.000380, 0.011000, -0.257033, 0.000000, 0.001093, 0.000109,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382098, 0.500000, 0.382611,-0.007178, 0.186640, 1.000000, 0.195662, 0.051337, 0.057354, 0.194503, 36.000000, 301.000000, 224.000000,29.000000, 0.004430, 0.000201, 0.000433, 0.018872, 0.000203, 0.000001, 0.000022, 0.000226, 0.000055,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.783150, 2.000000, 0.000000, 20.284481, 20.284481,0.000000, 0.000000, 0.235611
0.012000, 0.000380, 0.000038, 0.001875, 0.000380, 0.013000, 0.024031, 0.000000, 0.004918, 0.000492,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382107, 0.500000, 0.382844,-0.153141, 1.368695, 1.000000, 0.197938, 0.051337, 0.057354, 0.191867, 35.000000, 301.000000, 224.000000,30.000000, 0.005185, 0.000276, 0.000483, 0.019879, -0.000015, 0.000001, -0.000003, -0.000017, 0.000246,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.783150, 2.000000, 0.000000, 20.286480, 20.286480,0.000000, 0.000000, 0.235610
0.014000, 0.000761, 0.000304, 0.002027, 0.000761, 0.015000, 5.645311, 0.000000, -0.012568, -0.001257,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382128, 0.500000, 0.383122,-0.120838, -0.031107, 1.000000, 0.191367, 0.051405, 0.057264, 0.197271, 38.000000, 300.000000, 225.000000,28.000000, 0.005878, 0.000361, 0.000520, 0.020825, -0.004444, -0.000024, -0.000488, -0.004956, -0.000628,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.780220, 2.000000, 0.000000, 20.288479, 20.288479,0.000000, 0.000000, 0.235608
0.016000, 0.002282, 0.000685, 0.003403, 0.002282, 0.017000, 10.423398, 0.000000, -0.162012, -0.016201,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382158, 0.500000, 0.383444,-0.098106, 1.197608, 1.000000, 0.193474, 0.051405, 0.057264, 0.191867, 37.000000, 300.000000, 225.000000,30.000000, 0.006526, 0.000457, 0.000549, 0.021725, -0.008314, -0.000094, -0.000854, -0.009262, -0.008101,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.781685, 2.000000, 0.000000, 20.290478, 20.290478,0.000000, 0.000000, 0.235606
0.018000, 0.003423, 0.001255, 0.004450, 0.003423, 0.019000, 6.769567, 0.000000, -0.357629, -0.035763,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.382204, 0.500000, 0.383811,-0.093320, 0.827917, 1.000000, 0.193474, 0.051269, 0.057264, 0.191867, 37.000000, 302.000000, 225.000000,30.000000, 0.007098, 0.000561, 0.000565, 0.022546, -0.005598, -0.000152, -0.000474, -0.006223, -0.017881,-0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.777289, 2.000000, 0.000000, 20.292477, 20.292477,0.000000, 0.000000, 0.235602
